舰船,耐久,炮击,雷击,防空,航空,装填,射程,命中,机动,航速,幸运,反潜
哥伦比亚,4307.783820000001,168.59405999999998,0.0,323.41130000000004,0.0,187.49492,0.0,163.04708,106.72716000000001,32.5,70.0,100.81129999999999
彭萨科拉,3290.16792,232.74102000000002,0.0,198.25498000000002,0.0,160.77126,0.0,118.66382000000002,55.45496000000001,26.16,75.0,0.0
盐湖城,3290.16792,232.74102000000002,0.0,198.25498000000002,0.0,160.77126,0.0,118.66382000000002,55.45496000000001,26.16,71.0,0.0
北安普敦,3346.7644999999998,240.56382000000002,0.0,204.9669,0.0,167.15564000000003,0.0,121.99434000000001,53.31058,26.16,27.0,0.0
芝加哥,3393.0663600000007,240.56382000000002,0.0,204.9669,0.0,167.15564000000003,0.0,121.99434000000001,53.31058,26.16,32.0,0.0
休斯敦,3445.6508400000002,246.82206000000002,0.0,211.04812,0.0,172.10160000000002,0.0,121.99434000000001,53.31058,26.16,49.0,0.0
波特兰,4565.8047799999995,204.83122,0.0,245.79386000000002,0.0,170.28476000000003,0.0,125.82942,59.03776,26.16,78.0,0.0
印第安纳波利斯,4734.71154,210.96332,0.0,252.12736,0.0,174.85229999999999,0.0,125.82942,59.03776,26.16,23.0,0.0
阿斯托利亚,3881.826,218.65998000000002,0.0,226.16266,0.0,161.02354,0.0,122.62504,57.09478,26.16,15.0,0.0
昆西,4015.2810600000003,218.65998000000002,0.0,230.67932000000002,0.0,161.27582,0.0,125.82942,57.09478,26.16,9.0,0.0
文森斯,4015.2810600000003,218.65998000000002,0.0,230.67932000000002,0.0,161.27582,0.0,122.62504,57.09478,26.16,12.0,0.0
威奇塔,3709.23256,267.59064,0.0,222.2767,0.0,179.79826000000003,0.0,131.60748,50.15708,26.4,70.0,0.0
巴尔的摩,4591.0879,270.59362,0.0,260.40384,0.0,184.3658,0.0,136.12413999999998,57.09478,26.4,56.0,0.0
内华达,6974.09722,378.97968000000003,0.0,202.14094000000003,0.0,132.73532,0.0,68.5025,26.06222,20.5,75.0,0.0
俄克拉荷马,6956.185340000001,378.97968000000003,0.0,202.14094000000003,0.0,132.73532,0.0,68.5025,26.06222,20.5,38.0,0.0
宾夕法尼亚,7194.98426,390.10862000000003,0.0,212.99110000000002,0.0,137.429,0.0,70.44548,27.071340000000003,21.0,72.0,0.0
亚利桑那,7137.80786,400.05142,0.0,219.07232000000002,0.0,139.37198,0.0,70.44548,27.071340000000003,21.0,17.0,0.0
田纳西,7385.389940000001,391.92546,0.0,211.42654000000002,0.0,139.37198,0.0,69.73952,28.2066,21.0,51.0,0.0
加利福尼亚,7385.389940000001,391.92546,0.0,211.42654000000002,0.0,139.37198,0.0,69.73952,28.2066,21.0,36.0,0.0
科罗拉多,7456.52336,409.99422000000004,0.0,216.32162,0.0,149.81934,0.0,69.48724,30.35098,21.0,67.0,0.0
马里兰,7514.12906,405.8051,0.0,216.32162,0.0,146.9425,0.0,64.33988000000001,30.35098,21.2,70.0,0.0
西弗吉尼亚,7456.52336,409.99422000000004,0.0,216.32162,0.0,149.81934,0.0,70.11794,30.35098,21.0,61.0,0.0
西弗吉尼亚·改,7696.52336,439.99422000000004,0.0,246.32162,0.0,174.81934,0.0,90.11794,30.35098,21.0,61.0,0.0
北卡罗来纳,7852.528760000001,421.62984000000006,0.0,400.9556,0.0,159.33284,0.0,70.11794,33.2787,28.0,81.0,0.0
华盛顿,8080.4531400000005,421.62984000000006,0.0,400.9556,0.0,159.33284,0.0,70.11794,33.2787,28.0,89.0,0.0
南达科他,8031.62848,414.9423,0.0,400.9556,0.0,159.33284,0.0,72.06092,33.2787,27.8,76.0,0.0
新泽西,9520.290359999999,447.95070000000004,0.0,430.12468000000007,0.0,170.28476000000003,0.0,74.50846,39.182900000000004,33.0,72.0,0.0
长岛,4691.433859999999,0.0,0.0,257.83016,281.04098,182.67510000000001,0.0,86.06458,66.35600000000001,16.5,68.0,100.81129999999999
博格,3953.91024,0.0,0.0,252.12736,279.098,179.54598000000001,0.0,86.06458,67.11284,18.0,78.0,148.20177999999999
兰利,4460.80966,0.0,0.0,245.79386000000002,204.57894000000002,123.60024,0.0,81.67406000000001,80.60982,15.5,32.0,95.99148
列克星敦,6912.1434,0.0,0.0,303.60308000000003,397.30072,110.83148,0.0,92.95352000000001,57.046020000000006,33.25,35.0,0.0
萨拉托加,6912.1434,0.0,0.0,303.60308000000003,397.30072,110.83148,0.0,92.95352000000001,57.046020000000006,33.25,66.0,0.0
突击者,4779.545300000001,0.0,0.0,248.36754000000002,240.8161,131.04462,0.0,90.02580000000002,73.74950000000001,29.3,71.0,107.70024000000001
约克城,5797.12622,0.0,0.0,317.83464000000004,396.11458,121.7834,0.0,96.28404,55.02778,32.5,39.0,0.0
企业,6193.855600000001,0.0,0.0,329.99708,430.00808,132.73532,0.0,107.33560000000001,62.52304,32.5,93.0,0.0
大黄蜂,5823.367580000001,0.0,0.0,307.23676,401.74212000000006,121.7834,0.0,96.28404,55.02778,32.5,15.0,0.0
胡蜂,4894.579680000001,0.0,0.0,272.81856,330.45182000000005,117.46814,0.0,88.563,51.69726,29.5,20.0,0.0
女灶神,4624.16414,50.192060000000005,0.0,152.53294,0.0,168.84634,0.0,108.84928000000001,43.5713,16.0,79.0,0.0
女将,1370.6913000000002,65.45924000000001,360.40636,154.0975,0.0,192.1886,0.0,204.527,264.62476,44.4,72.0,176.86842000000001
女将.改,1535.6913000000002,65.45924000000001,360.40636,194.0975,0.0,192.1886,0.0,204.527,284.62476,47.4,72.0,216.86842000000001
阿卡司塔,1370.6913000000002,68.58836000000001,360.78478,154.0975,0.0,193.50088000000002,0.0,189.13580000000002,262.17722,42.0,43.0,173.48702
热心,1370.6913000000002,68.58836000000001,360.78478,154.0975,0.0,193.50088000000002,0.0,189.13580000000002,262.17722,42.0,35.0,173.48702
小猎兔犬,1349.84958,65.58538000000001,355.03110000000004,150.33768,0.0,190.49790000000002,0.0,192.34018,262.17722,42.0,71.0,192.64016
大斗犬,1349.84958,65.58538000000001,355.03110000000004,150.33768,0.0,190.49790000000002,0.0,192.34018,262.17722,42.0,65.0,197.08156
彗星,1360.01816,68.58836000000001,350.33742,150.7161,0.0,190.75018,0.0,195.16614,262.80792,43.2,54.0,206.21663999999998
新月,1360.01816,68.58836000000001,350.33742,150.7161,0.0,190.75018,0.0,195.16614,262.80792,43.2,35.0,206.21663999999998
小天鹅,1360.01816,68.58836000000001,350.33742,150.7161,0.0,190.75018,0.0,195.16614,262.80792,43.2,72.0,210.65804
狐提,1373.13884,71.71748000000001,350.84198000000004,150.33768,0.0,192.1886,0.0,197.73982,262.17722,42.6,68.0,213.91330000000002
命运女神,1402.3831800000003,72.0959,357.90794,154.0975,0.0,195.31772,0.0,197.73982,262.17722,42.6,68.0,218.3547
格伦维尔,1518.12352,85.92466000000002,365.10004,165.07380000000003,0.0,201.7021,0.0,201.82718000000003,262.80792,43.2,32.0,215.73014
萤火虫,1412.42562,79.54028,370.60144,165.07380000000003,0.0,201.7021,0.0,204.527,262.80792,43.2,36.0,215.73014
勇敢,1518.12352,81.23098,374.79056,157.30188,0.0,201.44982000000002,0.0,216.58768,262.80792,43.2,40.0,192.38788
猎人,1370.6913000000002,76.5373,356.34338,156.79732,0.0,197.00842,0.0,209.92664000000002,262.80792,43.2,24.0,187.6942
标枪,1581.4564,80.9787,374.79056,160.68328,0.0,207.70806000000002,0.0,213.13102,262.80792,43.2,65.0,215.73014
天后,1536.39156,76.91572000000001,364.84776000000005,156.29276000000002,0.0,201.44982000000002,0.0,213.13102,262.80792,43.2,40.0,210.65804
吸血鬼,1314.95332,71.71748000000001,376.35512000000006,156.29276000000002,0.0,197.00842,0.0,182.97932000000003,245.14620000000002,40.8,42.0,207.65506000000002
利安得,3247.04818,146.69022,270.59362,321.97288000000003,0.0,172.10160000000002,0.0,145.33448,124.76518000000002,32.5,44.0,125.41496000000001
阿基里斯,2974.8624400000003,163.90037999999998,324.572,295.45274000000006,0.0,175.10458,0.0,148.66500000000002,111.16644,32.5,54.0,128.41794000000002
阿贾克斯,2974.8624400000003,163.90037999999998,324.572,295.45274000000006,0.0,175.10458,0.0,148.66500000000002,111.16644,32.5,74.0,128.41794000000002
黛朵,3744.78814,157.89442,178.10756,387.85718,0.0,193.50088000000002,0.0,160.4734,111.16644,32.25,85.0,168.91948000000002
南安普顿,3688.56998,151.51004,273.34432000000004,307.74132000000003,0.0,172.10160000000002,0.0,157.26902000000004,115.50608000000001,32.0,32.0,103.94042
谢菲尔德,3796.7419200000004,156.20372,295.55132000000003,351.24372,0.0,182.92738000000003,0.0,160.4734,115.50608000000001,32.0,78.0,87.9164
曼彻斯特,3641.9267999999997,141.99654,273.34432000000004,331.94006,0.0,174.85229999999999,0.0,158.02586000000002,122.82220000000001,32.0,41.0,136.49302
格罗斯特,3789.235,156.20372,281.04098,317.45622,0.0,176.54300000000003,0.0,157.26902000000004,115.50608000000001,32.0,45.0,141.8174
爱丁堡,4486.513599999999,157.64214,281.04098,313.69640000000004,0.0,176.54300000000003,0.0,160.4734,115.50608000000001,32.0,37.0,101.06358
贝尔法斯特,3970.41762,179.54598000000001,340.52076,293.38362,0.0,182.92738000000003,0.0,160.4734,110.53574,32.0,88.0,144.94652
阿瑞托莎,2830.60598,156.20372,270.59362,324.42042000000004,0.0,187.49492,0.0,170.46496000000002,115.50608000000001,32.0,69.0,115.64918000000002
加拉蒂亚,2830.60598,156.20372,270.59362,324.42042000000004,0.0,187.49492,0.0,170.46496000000002,115.50608000000001,32.0,26.0,92.9885
欧若拉,2914.93322,162.46196,279.098,334.00918,0.0,195.31772,0.0,172.2818,115.50608000000001,32.0,84.0,109.26480000000001
伦敦,3561.43994,223.60594000000003,223.35366000000002,212.99110000000002,0.0,165.59108000000003,0.0,116.84698000000002,67.43826,25.6,62.0,0.0
伦敦.改,3841.43994,233.60594000000003,223.35366000000002,297.9911,0.0,165.59108000000003,0.0,136.84698000000003,82.43826,25.6,62.0,0.0
什罗普郡,3461.5444800000005,218.65998000000002,215.78314000000003,208.22216000000003,0.0,160.77126,0.0,116.84698000000002,67.43826,25.6,75.0,0.0
什罗普郡.改,3741.5444800000005,273.65998,245.78314000000003,208.22216000000003,0.0,165.77126,0.0,116.84698000000002,67.43826,25.6,75.0,0.0
肯特,3508.09862,218.65998000000002,215.78314000000003,208.22216000000003,0.0,160.77126,0.0,116.84698000000002,65.49528,25.2,71.0,0.0
萨福克,3474.2644800000003,218.65998000000002,215.78314000000003,208.22216000000003,0.0,160.77126,0.0,116.84698000000002,65.49528,25.2,72.0,0.0
诺福克,4621.2661,178.10756,141.99654,242.03404,0.0,160.77126,0.0,116.84698000000002,68.82580000000002,25.2,69.0,0.0
多塞特郡,4755.85642,182.92738000000003,245.13136,250.05824,0.0,165.59108000000003,0.0,116.84698000000002,68.82580000000002,25.2,33.0,0.0
约克,3676.25066,226.48278000000002,193.50088000000002,243.5986,0.0,176.54300000000003,0.0,130.97678000000002,72.48386,25.8,15.0,0.0
埃克塞特,3705.4950000000003,226.48278000000002,193.50088000000002,243.5986,0.0,176.54300000000003,0.0,125.80504,72.48386,25.8,49.0,0.0
声望,6207.760680000001,376.35512000000006,0.0,276.45223999999996,0.0,156.456,0.0,72.56548000000001,37.79536,32.58,85.0,0.0
反击,6032.34552,355.03110000000004,0.0,268.68032,0.0,152.94846,0.0,68.7304,35.852380000000004,31.5,28.0,0.0
胡德,8445.6401,343.70288,0.0,323.91586,0.0,159.33284,0.0,68.7304,37.79536,31.0,38.0,0.0
伊丽莎白女王,7512.31222,403.68722,0.0,212.99110000000002,0.0,145.50408000000002,0.0,68.7304,33.73238,24.0,25.0,0.0
厌战,7783.789880000001,426.1995,0.0,220.08144000000001,0.0,159.33284,0.0,75.896,33.73238,24.0,90.0,0.0
厌战.改,8023.789880000001,446.1995,0.0,290.08144000000004,0.0,179.33284,0.0,100.896,33.73238,24.0,90.0,97.80832
纳尔逊,7654.70096,407.49792,0.0,219.07232000000002,0.0,149.81934,0.0,70.11794,33.73238,23.5,66.0,0.0
纳尔逊.改,7894.70096,437.49792,0.0,249.07232000000002,0.0,169.81934,0.0,95.11794,33.73238,23.5,66.0,0.0
罗德尼,7630.225560000001,407.49792,0.0,219.07232000000002,0.0,149.81934,0.0,70.11794,31.7894,23.0,81.0,0.0
英王乔治五世,7970.5905,423.32054,0.0,264.54208,0.0,156.456,0.0,70.11794,35.42308,28.3,77.0,0.0
威尔士亲王,7967.184720000001,422.94212000000005,0.0,230.67932000000002,0.0,156.456,0.0,69.48724,35.42308,28.3,19.0,0.0
约克公爵,7967.184720000001,421.62984000000006,0.0,225.78424000000004,0.0,153.20074,0.0,70.11794,35.42308,28.3,73.0,0.0
前卫,9466.69676,417.44072000000006,0.0,426.4645,0.0,176.54300000000003,0.0,78.46968,37.99676000000001,30.0,52.0,0.0
竞技神,4158.0651800000005,0.0,0.0,247.86298000000002,281.04098,173.41388000000003,0.0,81.67406000000001,67.0132,25.0,41.0,104.1927
独角兽,5337.38302,0.0,0.0,268.30190000000005,307.18482000000006,181.23668,0.0,84.24774000000001,66.38250000000001,24.0,78.0,109.01252000000001
独角兽.改,5547.38302,0.0,0.0,338.30190000000005,352.18482000000006,186.23668,0.0,89.24774000000001,66.38250000000001,24.0,78.0,109.01252000000001
鹰,6193.63512,215.40472,0.0,307.74132000000003,370.34916,112.64832,0.0,90.02580000000002,47.43288,24.0,40.0,0.0
皇家方舟,6107.7624000000005,0.0,0.0,307.74132000000003,400.17756,117.46814,0.0,102.18824000000001,53.64024,31.0,87.0,0.0
光辉,6561.13394,0.0,0.0,297.01730000000003,400.17756,117.46814,0.0,91.13668000000001,53.64024,30.5,44.0,0.0
胜利,6262.38672,0.0,0.0,289.24538,410.24649999999997,104.57324,0.0,90.37984000000002,53.64024,30.5,82.0,0.0
可畏,6481.959360000001,0.0,0.0,289.24538,413.93106,117.46814,0.0,90.37984000000002,51.69726,30.0,75.0,0.0
光荣,6313.96208,0.0,0.0,292.87906,360.65864000000005,109.39306,0.0,88.563,51.69726,30.0,32.0,0.0
黑暗界,3642.5776400000004,282.35326,0.0,171.53344,0.0,145.50408000000002,0.0,81.14511999999999,61.23302,12.0,91.0,0.0
恐怖,3642.5776400000004,282.35326,0.0,171.53344,0.0,145.50408000000002,0.0,81.14511999999999,61.23302,12.0,19.0,0.0
吹雪,1798.3779800000002,62.5824,509.80064,146.45172000000002,0.0,214.09244,0.0,201.19648,239.99884,45.6,34.0,195.517
白雪,1798.3779800000002,68.58836000000001,508.10994,146.45172000000002,0.0,214.09244,0.0,201.19648,244.33848000000003,45.6,41.0,199.95839999999998
深雪,1798.3779800000002,65.45924000000001,509.6745,146.45172000000002,0.0,214.09244,0.0,201.19648,244.33848000000003,45.6,10.0,192.38788
绫波,1798.3779800000002,65.58538000000001,509.80064,146.45172000000002,0.0,214.09244,0.0,201.19648,244.33848000000003,45.6,36.0,203.59207999999998
晓,1747.9134999999999,60.76556,493.34732,150.33768,0.0,210.96332,0.0,195.79684,244.33848000000003,45.6,45.0,190.82332
响,1798.3779800000002,62.5824,524.94168,154.60206,0.0,215.78314000000003,0.0,195.79684,244.33848000000003,45.6,88.0,195.517
雷,1747.9134999999999,60.76556,493.34732,150.33768,0.0,210.96332,0.0,195.79684,244.33848000000003,45.6,52.0,170.3579
电,1747.9134999999999,60.76556,493.34732,150.33768,0.0,210.96332,0.0,195.79684,244.33848000000003,45.6,57.0,170.3579
白露,1713.0172400000001,65.45924000000001,509.80064,150.33768,0.0,197.00842,0.0,200.43964,239.36814,40.8,41.0,165.79036000000002
夕立,1828.75758,70.27906,545.3318399999999,157.30188,0.0,226.60891999999998,0.0,209.92664000000002,239.36814,40.8,32.0,200.46295999999998
夕立.改,1993.75758,110.27906,585.3318399999999,157.30188,0.0,226.60891999999998,0.0,209.92664000000002,279.36814000000004,40.8,32.0,200.46295999999998
时雨,1763.1033,65.9638,524.94168,150.7161,0.0,212.65402000000003,0.0,200.43964,239.36814,40.8,84.0,181.43596
雪风,2226.31694,68.58836000000001,526.3801000000001,161.18784,0.0,223.60594000000003,0.0,214.014,241.76480000000004,42.6,93.0,210.65804
阳炎,1885.8078400000002,65.45924000000001,512.55134,150.33768,0.0,201.44982000000002,0.0,201.82718000000003,241.76480000000004,42.6,25.0,189.25876
不知火,1848.5901800000001,64.02082,502.10398000000004,145.4426,0.0,197.00842,0.0,201.82718000000003,241.76480000000004,42.6,25.0,173.73930000000001
野分,2145.22058,65.9638,526.3801000000001,154.60206,0.0,210.96332,0.0,209.92664000000002,239.99884,42.0,72.0,192.1356
初春,1773.2718800000002,59.32714000000001,478.58470000000005,145.82102,0.0,196.75614000000002,0.0,197.73982,241.76480000000004,43.2,45.0,189.25876
若叶,1773.2718800000002,59.32714000000001,478.58470000000005,145.82102,0.0,196.75614000000002,0.0,197.73982,241.76480000000004,43.2,36.0,189.25876
初霜,1773.2718800000002,59.32714000000001,478.58470000000005,145.82102,0.0,196.75614000000002,0.0,197.73982,241.76480000000004,43.2,51.0,189.25876
有明,1773.2718800000002,59.32714000000001,478.58470000000005,145.82102,0.0,196.75614000000002,0.0,197.73982,241.76480000000004,43.2,34.0,189.25876
夕暮,1619.9354600000001,59.32714000000001,478.58470000000005,145.82102,0.0,196.75614000000002,0.0,197.73982,243.70778,44.7,32.0,189.25876
黑潮,2083.1491,65.45924000000001,512.55134,150.33768,0.0,201.44982000000002,0.0,201.82718000000003,239.99884,42.0,34.0,189.25876
亲潮,2083.1491,65.45924000000001,512.55134,150.33768,0.0,201.44982000000002,0.0,201.82718000000003,239.99884,42.0,34.0,189.25876
夕张,2177.56224,131.29690000000002,276.59958,307.74132000000003,0.0,182.92738000000003,0.0,140.18712000000002,120.65344,35.5,53.0,84.53500000000001
长良,2891.5930799999996,140.68426000000002,279.098,278.52135999999996,0.0,173.41388000000003,0.0,145.33448,128.0957,36.0,36.0,84.53500000000001
五十铃,3214.49558,120.34498,220.35067999999998,343.59794,0.0,176.54300000000003,0.0,145.33448,115.50608000000001,36.0,33.0,99.24673999999999
名取,2886.70012,146.9425,292.67448,309.6843,0.0,182.67510000000001,0.0,145.33448,120.65344,36.0,43.0,141.8174
由良,2898.5594,146.69022,292.67448,303.60308000000003,0.0,182.67510000000001,0.0,145.33448,120.65344,36.0,40.0,141.8174
鬼怒,2886.70012,148.38092,289.79764,304.10764,0.0,181.23668,0.0,145.33448,120.65344,36.0,52.0,123.97654000000001
阿武隈,2891.5930799999996,140.68426000000002,279.098,278.52135999999996,0.0,173.41388000000003,0.0,145.33448,128.0957,36.0,43.0,92.86236
最上,4015.8789,201.7021,186.05650000000003,186.90026,0.0,189.05948,0.0,149.42184,82.3249,29.6,14.0,45.90118
最上.改,4624.03264,264.31190000000004,202.44088000000002,233.35990000000004,0.0,188.35668,0.0,129.13556,80.38192,28.4,14.0,0.0
三隈,4015.8789,201.7021,187.49492,186.90026,0.0,189.05948,0.0,149.42184,82.3249,29.6,13.0,45.90118
古鹰,3439.06506,215.40472,190.75018,161.18784,0.0,163.90037999999998,0.0,111.42296,75.5886,31.05,34.0,0.0
加古,3439.06506,215.40472,190.75018,161.18784,0.0,163.90037999999998,0.0,111.42296,75.5886,31.05,34.0,0.0
青叶,3527.9312200000004,215.40472,190.75018,167.64748000000003,0.0,163.90037999999998,0.0,111.42296,76.2193,32.4,52.0,0.0
衣笠,3527.9312200000004,215.40472,190.75018,167.64748000000003,0.0,163.90037999999998,0.0,111.42296,76.2193,32.4,65.0,0.0
筑摩,4392.100460000001,263.27538,248.38662000000002,189.60008,0.0,181.23668,0.0,117.45330000000001,75.5886,28.35,42.0,0.0
妙高,5220.9346000000005,196.75614000000002,150.19776000000002,193.9906,0.0,163.90037999999998,0.0,125.04820000000001,78.03614,32.4,62.0,0.0
那智,5220.9346000000005,196.75614000000002,150.19776000000002,193.9906,0.0,163.90037999999998,0.0,125.04820000000001,78.03614,32.4,58.0,0.0
足柄,4162.1483,234.55786,223.60594000000003,171.15501999999998,0.0,168.84634,0.0,125.04820000000001,75.5886,28.8,60.0,0.0
羽黑,4648.380899999999,239.1254,209.39876,203.95778,0.0,163.90037999999998,0.0,125.04820000000001,76.2193,28.8,82.0,0.0
高雄,4295.40938,270.59362,245.38364,178.62378,0.0,175.10458,0.0,134.28292000000002,79.75122,31.95,65.0,0.0
爱宕,4295.40938,270.59362,245.38364,178.62378,0.0,175.10458,0.0,134.28292000000002,79.75122,31.95,48.0,0.0
摩耶,4295.40938,270.59362,245.38364,178.62378,0.0,175.10458,0.0,134.28292000000002,79.75122,31.95,48.0,0.0
鸟海,4295.40938,261.58468000000005,221.78910000000002,178.62378,0.0,175.10458,0.0,134.28292000000002,79.75122,31.95,50.0,0.0
金刚,6604.21128,367.97688000000005,0.0,273.32311999999996,0.0,159.33284,0.0,70.87478,37.366060000000004,30.0,43.0,0.0
比叡,6604.21128,367.7246,0.0,273.32311999999996,0.0,160.77126,0.0,68.93180000000001,37.366060000000004,30.0,37.0,0.0
榛名,6604.21128,360.78478,0.0,273.32311999999996,0.0,159.33284,0.0,68.93180000000001,37.366060000000004,30.0,47.0,0.0
雾岛,6604.21128,367.7246,0.0,273.32311999999996,0.0,160.77126,0.0,68.93180000000001,37.366060000000004,30.0,37.0,0.0
扶桑,6916.7438,390.10862000000003,0.0,222.2767,0.0,138.86742,0.0,66.35812,31.7894,23.0,13.0,0.0
扶桑.改,7266.7438,390.16884,0.0,303.74082,202.89442,134.65708,0.0,78.04038,31.7894,23.0,13.0,0.0
山城,7307.84564,390.10862000000003,0.0,222.2767,0.0,138.86742,0.0,66.35812,31.7894,23.0,14.0,0.0
山城.改,7657.84564,390.16884,0.0,303.74082,202.89442,134.65708,0.0,78.04038,31.7894,23.0,14.0,0.0
伊势,7124.81332,398.73914,0.0,230.04862,0.0,141.99654,0.0,70.87478,31.7894,23.0,60.0,0.0
伊势.改,7243.103620000001,390.11164,0.0,373.88818,275.27240000000006,132.66006000000002,0.0,87.43090000000001,31.7894,23.0,60.0,0.0
日向,7124.81332,398.73914,0.0,230.04862,0.0,141.99654,0.0,70.87478,31.7894,23.0,60.0,0.0
日向.改,7243.103620000001,390.11164,0.0,373.88818,275.27240000000006,132.66006000000002,0.0,87.43090000000001,31.7894,23.0,60.0,0.0
长门,8117.5807,419.68474,0.0,183.01430000000002,0.0,146.9425,0.0,70.87478,37.567460000000004,25.0,71.0,0.0
陆奥,7896.54526,409.99422000000004,0.0,185.08342000000002,0.0,145.50408000000002,0.0,71.63162,34.99378000000001,25.0,34.0,0.0
纪伊,7945.11764,421.2493,283.66554,368.04896,0.0,145.2518,0.0,71.63162,37.567460000000004,28.5,39.0,0.0
土佐,8056.51834,423.87386,217.22156,200.07182000000003,0.0,145.2518,0.0,71.63162,36.93676000000001,26.5,12.0,0.0
